SleepQuality,Regularity,Steps,Alarm,PA,MovementsPerHour,TimeInBed,TimeAsleep,TimeBeforeSleep,Snore,SnoreTime,Temperature
0,88,4473,1,87.9,58.2,22744,20242.1,151.6,1,82,32
0,0,3250,1,88.5,53.6,23559.9,23402.8,157.1,1,0,36.5
1,0,5937,0,87.8,40.1,29874.7,28779.3,199.2,1,1189,32
0,66,4835,1,87.4,79.7,26498.9,23230.7,176.7,1,272,25.2
1,94,2216,1,86.3,56.5,25415.4,22280.9,169.4,0,0,33.1
0,82,1608,1,87,44,21166.8,21025.7,141.1,1,0,24.8
0,90,3599,1,87.6,52.3,21715.1,17951.1,144.8,1,0,23.2
0,95,3855,1,86.9,67.1,22252.4,18098.6,148.3,1,0,34.3
1,93,5080,1,86.1,64.4,26087.9,22348.7,173.9,1,0,34.2
1,80,2095,1,87,53.8,29611.7,27144.1,197.4,1,0,36.7
1,67,5393,1,86.6,61.7,25862.1,21724.2,172.4,1,61,39
1,95,4292,1,86.8,60.4,27967.3,25077.3,186.4,1,135,31.5
1,51,4734,0,87.8,53.8,29007.3,23302.5,193.4,1,140,32
1,80,3562,0,86.4,22.2,27512.8,27329.4,183.4,1,0,32
1,0,3002,0,86.5,63.3,33095.5,28572.5,220.6,1,0,32
0,61,1451,1,86.5,43.5,16331.5,16222.7,108.9,1,0,27
